"id_componente";"codigo";"nome";"ch_total";"equivalencia";"pre_requisito";"co_requisito"
"18718";"MUT301";"HISTÓRIA E ESTRUTURAÇÃO MUSICAL I";"60";"";"";""
"18719";"MUT302";"HISTÓRIA E ESTRUTURAÇÃO MUSICAL II";"60";"";"";""
"18720";"MUT305";"MUSICA POPULAR BRASILEIRA (MPB)";"30";"";"";""
"18721";"MUT306";"ELABORAÇÃO E EDIÇÃO DE PARTITURAS";"30";"";"";""
"18722";"MUT307";"PERCEPÇÃO I";"30";"";"";""
"18723";"MUT308";"PERCEPÇÃO II";"30";"";"( MUT307 ) ";""
"18724";"MUT309";"PERCEPÇÃO III";"30";"";"( MUT308 ) ";""
"18725";"MUT401";"PRÁTICA DE CONJUNTO I";"60";"";"";""
"18726";"MUT402";"PRÁTICA DE CONJUNTO II";"60";"";"";""
"18727";"MUT403";"PRÁTICA DE CONJUNTO III";"60";"";"";""
"18728";"MUT404";"PRÁTICA DE ORQUESTRA";"60";"";"";""
"18729";"MUT405";"CANTO CORAL";"30";"";"";""
"18730";"MUT406";"HARMONIA E IMPROVISAÇÃO I";"15";"";"";""
"18731";"MUT407";"PIANO V";"45";"";"";""
"18732";"MUT408";"CANTO V";"45";"";"( MUT104 ) ";""
"18733";"MUT409";"SAXOFONE V";"45";"";"";""
"18734";"MUT410";"FLAUTA DOCE V";"45";"";"";""
"18735";"MUT411";"VIOLA V";"45";"";"";""
"18736";"MUT412";"TROMPETE V";"45";"";"";""
"18737";"MUT413";"CANTO VI";"45";"";"";""
"18738";"MUT414";"TROMPETE VI";"45";"";"";""
"18739";"MUT415";"PIANO VI";"45";"";"";""
"18740";"MUT416";"SAXOFONE VI";"45";"";"";""
"18741";"MUT417";"CLARINETE V";"45";"";"";""
"18742";"MUT418";"CLARINETE VI";"45";"";"";""
"18743";"MUT419";"VIOLÃO V";"45";"";"";""
"18744";"MUT420";"VIOLÃO VI";"45";"";"";""
"18745";"MUT421";"PERCUSSÃO V";"45";"";"";""
"18746";"MUT422";"PERCUSSÃO VI";"45";"";"";""
"18747";"MUT423";"FLAUTA TRANSVERSAL V";"45";"";"";""
"18748";"MUT424";"FLAUTA TRANSVERSAL VI";"45";"";"";""
"18749";"MUT426";"FLAUTA DOCE VI";"45";"";"";""
"18750";"MUT427";"VIOLINO VI";"45";"";"";""
"18751";"MUT428";"VIOLA VI";"45";"";"";""
"18752";"MUT450";"GUITARRA ELÉTRICA V";"45";"";"";""
"18753";"MUT451";"GUITARRA ELÉTRICA VI";"45";"";"";""
"18754";"MUT452";"HARMONIA E IMPROVISAÇÃO III";"15";"";"";""
"18755";"MUT453";"HARMONIA E IMPROVISAÇÃO II";"15";"";"";""
"18756";"MUT454";"EDIÇÃO DE ÁUDIO I";"60";"";"";""
"18757";"MUT455";"PRÁTICA DE ESTÚDIO I";"60";"";"";""
"18758";"MUT458";"MORFOLOGIA E ANÁLISE MUSICAL I";"30";"( MUT310 ) ";"";""
"18759";"MUT459";"MORFOLOGIA E ANÁLISE MUSICAL II";"30";"( MUT311 ) ";"";""
"18760";"MUT460";"HARMONIA I";"30";"";"";""
"18761";"MUT461";"HARMONIA II";"30";"";"( MUT460 ) ";""
"18762";"MUT462";"HISTÓRIA DA MÚSICA I";"60";"";"";""
"18763";"MUT463";"HISTÓRIA DA MÚSICA II";"60";"";"";""
"18764";"MUT466";"OBOÉ V";"45";"";"";""
"18765";"MUT467";"OBOÉ VI";"45";"";"";""
"18766";"MUT468";"REGÊNCIA V";"45";"";"( MUT164 ) ";""
"18767";"MUT469";"REGÊNCIA VI";"45";"";"";""
"18768";"MUT470";"TROMBONE V";"45";"";"";""
"18769";"MUT471";"TROMBONE VI";"45";"";"";""
"18770";"MUT472";"PERCEPÇÃO IV";"30";"";"( MUT309 ) ";""
"18771";"MUT473";"SEMINÁRIOS EXPERIMENTAIS";"30";"";"";""
"18773";"MUT477";"ARRANJOS I";"30";"";"";""
"18774";"MUT478";"VIOLINO V";"45";"";"";""
"18775";"MUT479";"VIOLONCELO II";"45";"";"";""
"18776";"MUT480";"VIOLONCELO V";"45";"";"";""
"18777";"MUT490";"VIOLONCELO VI";"45";"";"";""
"18778";"MUT491";"ARRANJOS II";"30";"";"( MUT477 ) ";""
"18779";"MUT492";"PREPARAÇÃO PARA O PALCO E PERFORMANCE";"30";"";"";""
"18780";"MUT496";"RECITAL SOLO";"45";"";"";""
"18781";"MUT500";"CONTRABAIXO ELÉTRICO I";"45";"";"";""
"18782";"MUT501";"CONTRABAIXO ELÉTRICO II";"45";"";"";""
"18783";"MUT502";"CONTRABAIXO ELÉTRICO III";"45";"";"";""
"18784";"MUT503";"CONTRABAIXO ELÉTRICO IV";"45";"";"";""
"18785";"MUT504";"CONTRABAIXO ELÉTRICO V";"45";"";"";""
"18786";"MUT505";"CONTRABAIXO ELÉTRICO VI";"45";"";"";""
"18787";"MUT604";"INSTRUMENTO COMPLEMENTAR I";"30";"";"";""
"18788";"MUT605";"INSTRUMENTO COMPLEMENTAR II";"30";"";"";""
"18789";"MUT606";"INSTRUMENTO COMPLEMENTAR III";"30";"";"";""
"18790";"MUT607";"INSTRUMENTO COMPLEMENTAR IV";"30";"";"";""
"18791";"MUT608";"INSTRUMENTO COMPLEMENTAR V";"30";"";"";""
"18792";"MUT609";"INSTRUMENTO COMPLEMENTAR VI";"30";"";"";""
"18793";"MUT610";"LEITURA DE CIFRAS";"15";"";"";""
"18794";"MUT611";"INSTRUMENTAÇÃO";"30";"";"";""
"18795";"MUT507";"COMPOSIÇÃO EM MÚSICA POPULAR II";"60";"";"";""
"18796";"MUT509";"EDIÇÃO DE AUDIO II";"60";"";"( MUT454 ) ";""
"18797";"MUT722";"LABORATÓRIOS ELETIVOS II";"60";"";"";""
"18798";"MUT801";"INSTRUMENTO II";"45";"( MUT0008 ) OU ( MUT118 ) OU ( MUT106 ) OU ( MUT110 ) OU ( MUT158 ) OU ( MUT114 ) OU ( MUT130 ) OU ( MUT134 ) OU ( MUT122 ) OU ( MUT154 ) OU ( MUT126 ) OU ( MUT211 ) OU ( MUT146 ) OU ( MUT138 ) OU ( MUT142 ) OU ( MUT479 ) OU ( MUT521 ) OU ( MUT501 ) ";"( MUT800 ) ";""
"18799";"MUT803";"INSTRUMENTO IV";"45";"( MUT120 ) OU ( MUT523 ) OU ( MUT503 ) OU ( MUT108 ) OU ( MUT112 ) OU ( MUT160 ) OU ( MUT0010 ) OU ( MUT116 ) OU ( MUT132 ) OU ( MUT136 ) OU ( MUT124 ) OU ( MUT156 ) OU ( MUT128 ) OU ( MUT213 ) OU ( MUT148 ) OU ( MUT140 ) OU ( MUT144 ) OU ( MUT152 ) ";"( MUT802 ) ";""
"18800";"MUT170";"PIANO COMPLEMENTAR VI";"15";"";"";""
"18801";"MUT521";"CONTRABAIXO ACÚSTICO II";"30";"";"";""
"18802";"MUT522";"CONTRABAIXO ACÚSTICO III";"30";"";"";""
"18803";"MUT523";"CONTRABAIXO ACÚSTICO IV";"30";"";"";""
"18804";"MUT524";"CONTRABAIXO ACÚSTICO V";"30";"";"";""
"18805";"MUT525";"CONTRABAIXO ACÚSTICO VI";"30";"";"";""
"18806";"MUT166";"PIANO COMPLEMENTAR II";"15";"";"";""
"18807";"MUT168";"PIANO COMPLEMENTAR IV";"15";"( MUT167 ) E ( MUT0002 ) ";"";""
"18808";"MUT550";"HARMONIA FUNCIONAL E IMPROVISAÇÃO I";"30";"";"";""
"18809";"MUT551";"HARMONIA FUNCIONAL E IMPROVISAÇÃO II";"30";"";"( MUT550 ) ";""
"18810";"MUT552";"HARMONIA FUNCIONAL E IMPROVISAÇÃO III";"30";"";"( MUT551 ) ";""
"18811";"MUT723";"LABORATÓRIOS ELETIVOS III";"60";"";"";""
"18812";"MUT802";"INSTRUMENTO III";"45";"( MUT119 ) OU ( MUT522 ) OU ( MUT502 ) OU ( MUT107 ) OU ( MUT111 ) OU ( MUT159 ) OU ( MUT0009 ) OU ( MUT115 ) OU ( MUT131 ) OU ( MUT135 ) OU ( MUT123 ) OU ( MUT155 ) OU ( MUT127 ) OU ( MUT212 ) OU ( MUT147 ) OU ( MUT139 ) OU ( MUT143 ) OU ( MUT151 ) ";"( MUT801 ) ";""
"18813";"MUT805";"INSTRUMENTO VI (RECITAL)";"45";"";"";""
"18814";"MUT310";"APRECIAÇÃO MUSICAL I";"60";"( ( MUT462 ) E ( MUT463 ) ) OU ( ( MUT458 ) E ( MUT459 ) ) OU ( ( MUT462 ) E ( MUT458 ) ) ";"";""
"18815";"MUT311";"APRECIAÇÃO MUSICAL II";"60";"( ( MUT462 ) E ( MUT463 ) ) OU ( ( MUT458 ) E ( MUT459 ) ) OU ( ( MUT462 ) E ( MUT458 ) ) ";"( MUT310 ) ";""
"18818";"MUT456";"ELABORACAO E EDICAO DE PARTITURAS";"60";"";"";""
"18819";"MUT700";"MANUTENÇÃO E CONFIGURAÇÃO DE COMPUTADORES";"30";"";"";""
"18820";"MUT701";"PRÁTICA DE ESTÚDIO I";"75";"";"";""
"18821";"MUT702";"PRÁTICA DE ESTÚDIO II";"75";"";"( MUT701 ) ";""
"18822";"MUT703";"ELETRÔNICA PARA ÁUDIO";"30";"";"";""
"18823";"MUT704";"MICROFONES";"30";"";"";""
"18824";"MUT705";"MUSICA E INTERNET";"30";"";"";""
"18825";"MUT666";"PIANO COMPLEMENTAR I";"30";"";"";""
"18826";"MUT210";"TUBA I";"45";"";"";""
"18827";"MUT211";"TUBA II";"45";"";"";""
"18828";"MUT212";"TUBA III";"45";"";"";""
"18829";"MUT213";"TUBA IV";"45";"";"";""
"18830";"MUT214";"TUBA V";"45";"";"";""
"18831";"MUT497";"RECITAL";"45";"( MUT496 ) OU ( MUT416 ) OU ( MUT471 ) ";"( MUT408 OU MUT804 OU MUT468 OU MUT423 ) ";""
"18832";"MUT481";"PRATICA DE CONJUNTO";"45";"( MUT721 ) OU ( MUT722 ) ";"";""
"18833";"MUT667";"PIANO COMPLEMENTAR II";"30";"";"( MUT666 ) ";""
"20001";"COM0132";"LINGUAGEM JORNALISTICA PARA RADIO E TV";"60";"( COM0245 ) ";"( COM0085 OU COM0056 ) E ( COM0122 OU COM0059 ) ";""
"20002";"ESE0213";"PROCESSO DE ALFABETIZACAO";"90";"( EDU0595 OU FPE0595 OU DED0423 OU FPE5019 ) ";"( ( ( CSH0150 OU CSH0250 ) E ESE0209 E ESE0207 ) ) OU ( LET0222 OU EDU0591 OU EDU0589 OU FPE0589 OU FPE0591 OU EDU5004 OU FPE5004 ) ";""
"20003";"DCS0003";"ASPECTOS SOC.CULT.DO NORDESTE";"60";"";"( ( ( DAN0002 OU DAN0031 ) E ( DCS0030 OU DCS0033 ) ) OU ( ( DCS0301 ) E ( DAN0101 ) ) ) ";""
"20004";"DBF0003";"BIOFISICA III";"60";"( DBF0091 ) OU ( DBF0014 ) ";"( ( ( DBG0003 ) E ( MOR0022 ) E ( MOR0003 OU MOR0009 ) ) OU ( ( MOR0007 OU MOR0011 ) E ( MOR0024 OU MOR0025 ) ) ) ";""
"20005";"DCA0451";"COMPUTACAO NUMERICA";"60";"( DIM0302 OU DCA0304 OU DCA0106 ) ";"( ( ( DCA0429 OU MAT0314 ) E DIM0327 E DIM0326 ) OU ( MAT0314 E ( MAT0313 OU MAT0230 ) E ( DIM0321 OU DIM0052 ) ) ) ";""
"20006";"DCA0416";"SISTEMAS ESPECIALISTAS APLICADOS A AUTOMACAO";"60";"";"( ( ( DCA0432 OU DIM0356 OU DCA0900 ) E DCA0436 E DCA0437 ) ) ";""
"20007";"DIM0072";"TECNICAS DE ESPECIFICACAO FORMAL";"60";"( DIM0026 ) OU ( DIM0336 ) ";"( ( ( DIM0049 OU DIM0337 ) E ( DIM0051 OU DIM0060 OU DIM0336 ) ) ) ";""
"20008";"ECO0008";"ANALISE MACRO ECONOMICA I";"60";"( CSH0094 ) OU ( ECO0106 ) ";"( ( ( ECO0005 E ECO0011 ) OU ECO0026 OU ECO0002 ) ) ";""
"20009";"ECO0503";"MONOGRAFIA II";"180";"( ECO1534 ) ";"( ( ( ECO0207 ) OU ( ECO0022 ) ) E ( ECO0502 ) ) ";""
"20010";"EDU0722";"PRATICA DE ENSINO NA ESCOLA DE 1* GRAU";"225";"( EDU0651 ) ";"( ( ( EDU0635 ) E ( EDU0636 ) E ( EDU0637 ) E ( EDU0638 ) E ( EDU0639 ) ) OU ( ( EDU0715 ) E ( EDU0716 ) E ( EDU0717 ) E ( EDU0718 ) E ( EDU0719 ) ) ) ";""
"20011";"ELE0315";"ELETRONICA DIGITAL I";"60";"( ELE0011 ) OU ( ELE0425 ) OU ( ELE0515 ) ";"( ( ( ELE0311 E ELE0312 ) OU ELE0007 ) OU ( ELE0401 ) ) ";""
"20012";"DCA0404";"ARQUITETURA DE COMPUTADORES";"60";"( DCA0104 ) ";"( ( ( ELE0315 E ELE0316 ) OU ( ELE0427 E ELE0428 ) OU ELE0424 ) ) ";""
"20013";"DCA0418";"SUPERVISAO E CONTROLE OPERACIONAL DE SISTEMAS";"60";"";"( ( ( DCA0101 OU ELE0427 OU ELE0315 ) E ( DCA0102 OU ELE0428 ) E ( DCA0103 OU DCA0429 ) ) ) ";""
"20014";"DCA0443";"CONTROLADORES LOGICOS PROGRAMAVEIS";"60";"";"( ( ( DCA0101 OU ELE0427 ) E ( DCA0102 OU ELE0428 ) E ( DCA0103 OU DCA0429 ) ) ) OU ( DCA0206 OU ELE0522 ) ";""
"20015";"DCA0420";"LINGUAGEM DE DESCRICAO DE HARDWARE";"60";"";"( ( ELE0427 OU DCA0101 ) E ( ELE0428 OU DCA0102 ) E ( ( DIM0324 E DIM0325 ) OU ( DIM0427 E DIM0428 ) ) ) ";""
"20016";"DPU0020";"DIREITO ADMINISTRATIVO I";"60";"( ESE0617 ) ";"( ( ( ESE0613 ) OU ( DPU0104 OU DPU0205 ) OU ( DPU0032 ) ) OU ( ( DPR0201 OU DPU0205 ) ) ) ";""
"20017";"EST0073";"ESTATISTICA NAO-PARAMETRICA";"60";"( EST0043 ) ";"( EST0061 OU EST0114 ) ";""
"20018";"EST0077";"METODOS COMPUTACIONAIS EM ESTATISTICA";"60";"( EST0047 ) ";"( ( ( EST0061 ) E ( EST0091 ) ) OU ( ( EST0114 ) E ( EST0091 ) ) OU ( ( EST0036 ) E ( EST0039 ) ) ) ";""
"20019";"EST0064";"AMOSTRAGEM I";"90";"( EST0049 ) ";"( EST0061 OU EST0037 OU EST0114 ) ";""
"20020";"EST0083";"PLANEJAMENTO DE EXPERIMENTOS I";"90";"( EST0010 ) ";"( EST0061 OU EST0037 OU EST0114 ) ";""
"20021";"EST0075";"ATIVIDADE DE CONSULTORIA ESTATÍSTICA";"90";"( EST0045 ) E ( EST0046 ) ";"( EST0069 ) ";""
"20022";"CIV0322";"HIDROLOGIA";"60";"( CIV0017 OU CIV0422 OU CIV1104 ) ";"( ( ( EST0312 OU EST0210 ) E CIV0317 ) OU ( CIV0008 E CIV0015 ) ) ";""
"20023";"GEO0022";"HIDROGEOLOGIA";"90";"( GEO0415 ) ";"( ( ( GEO0012 OU GEO0057 ) E ( GEO0015 OU GEO0059 ) ) OU ( GEO0312 E GEO0340 ) ) ";""
"20024";"LET0308";"ESTILISTICA DA LINGUA PORTUGUESA I";"45";"( LET0006 ) OU ( LET0106 ) ";"( ( ( LET0304 ) E ( LET0307 ) ) OU ( LET0002 ) ) ";""
"20025";"LET0317";"FILOLOGIA PORTUGUESA";"60";"( LET0009 ) ";"( ( ( LET0309 ) E ( LET0361 ) ) OU ( LET0002 ) ) ";""
"20026";"LET0564";"LITERATURA FRANCESA IV";"60";"";"( ( ( LET0342 ) E ( LET0503 ) E ( LET0513 ) E ( LET0552 ) ) OU ( LET0056 E LET0167 E LET0168 ) ) ";""
"20027";"MAT0005";"CALCULO DIFERENCIAL E INTEGRAL II";"90";"( CEA0042 OU MAT0059 OU MAT0312 OU MAT0346 OU MAT0321 ) OU ( MAT0024 ) ";"( ( ( MAT0004 E MAT0007 ) OU MAT0228 OU MAT0311 OU MAT0331 ) ) ";""
"20028";"MAT0015";"EQUACOES DIFERENCIAIS ORDINARIAS";"90";"( CEA0024 ) OU ( MAT0226 ) ";"( ( ( MAT0008 OU MAT0065 ) E ( MAT0005 OU MAT0059 ) ) OU ( MAT0347 ) ) ";""
"20029";"DCA0414";"INTRODUCAO A ROBOTICA";"60";"";"( DCA0103 E DCA0201 ) OU ( DCA0103 E DIM0108 ) OU ( ELE0581 E DCA0803 ) OU ( DCA0304 E DEM0251 ) OU ( DCA0103 E ECT2303 ) ";""
"20030";"DCA0441";"TOPICOS ESPECIAIS EM ROBOTICA";"60";"";"( DCA0414 ) ";""
"20031";"DCA0440";"SISTEMAS ROBOTICOS AUTONOMOS";"60";"";"( DCA0414 ) ";""
"20032";"DCA0435";"COMPUTACAO GRAFICA";"60";"( DIM0102 ) OU ( DCA0114 ) ";"( ( ( MAT0230 OU MAT0313 ) E ( DCA0451 OU DIM0040 OU DIM0302 ) ) OU ( DCA0304 E MAT0313 ) ) ";""
"20033";"FIS0313";"ONDAS E FISICA MODERNA";"60";"( FIS0112 ) OU ( FIS0318 ) OU ( FIS0622 E FIS0604 ) ";"( ( ( MAT0311 ) E ( FIS0311 ) E ( FIS0312 ) ) OU ( FIS0601 E ( MAT0345 OU MAT0228 ) OU ( FIS0317 ) OU ( FIS0311 ) OU ( MAT0311 ) ) ) ";""
"20034";"DCA0304";"METODOS COMPUTACIONAIS EM ENGENHARIA";"60";"( ELE0048 ) OU ( DCA0451 ) OU ( DEQ0480 ) OU ( PRO1004 ) OU ( DCA0399 ) OU ( DCA0106 ) ";"( ( ( MAT0314 ) E ( MAT0313 OU ( MAT0064 E MAT0065 ) OU MAT0059 ) E ( DIM0321 ) OU ( MAT0347 E DEM0102 ) ) OU ( ( DCA0429 OU MAT0314 ) E DIM0327 E DIM0326 ) OU ( DCA0803 ) OU ( ELE0581 ) OU ( DEM0102 E PRO1003 E PRO1002 ) ) ";""
"20035";"MEC0375";"TRANSMISSAO DE CALOR";"60";"( MEQ0011 ) OU ( DEQ0303 ) OU ( DEM0404 ) OU ( MEC1802 ) ";"( ( ( MEC0371 ) E ( ( MEC0374 ) E ( MEC0373 ) ) ) OU ( ( DEQ0302 ) E ( DEQ0307 ) E ( MAT0314 ) ) ) ";""
"20036";"DEF0206";"SOCORROS DE URGENCIA";"30";"( DEF0422 ) ";"( ( ( MOR0006 OU MOR0007 OU MOR0011 ) E ( DFS0015 OU DFS0029 ) ) OU ( DFS0009 ) OU ( MOR0071 E DFS0032 ) ) OU ( MOR0011 ) ";"( DFS0039 ) OU ( DFS0032 ) "
"20037";"DEQ0354";"ENGENHARIA DE QUALIDADE TOTAL";"60";"( DEQ0226 ) ";"( ( ( PRO0208 E PRO0209 ) OU PRO0202 ) E ( EST0313 OU EST0210 OU EST0311 ) ) ";""
"20038";"QUI0040";"FISICO-QUIMICA I";"60";"( QUI0005 ) OU ( QUI0520 ) OU ( QUI0630 ) ";"( ( ( QUI0034 E QUI0035 ) E ( FIS0003 OU FIS0703 ) E MAT0058 ) OU ( QUI0004 ) OU ( QUI0014 E QUI0015 ) ) ";""
"20039";"QUI0147";"QUIMICA INDUSTRIAL BASICA";"90";"";"( ( ( QUI0230 OU QUI0202 ) E ( QUI0134 OU QUI0501 ) ) OU ( QUI0232 E QUI0132 ) ) ";""
"20040";"DEQ0327";"MICROBIOLOGIA E ENZIMOLOGIA INDUSTRIAL";"60";"( DEQ0523 ) ";"( ( ( QUI0342 OU QUI0232 ) E ( DEQ0307 ) ) OU ( QUI0201 E DBQ0009 E QUI0060 ) ) ";""
"20043";"ACT0047";"TOPICOS AVANCADOS EM ANALISES CLINICAS";"45";"";"( ( ACT0032 OU ACT0049 ) E ( ACT0033 ) E ( ACT0034 ) E ( ACT0036 ) E ( ACT0037 ) E ( ACT0038 OU ACT0050 ) E ( ACT0039 ) ) ";""
"20044";"ACT0042";"BIOQUIMICA HORMONAL";"45";"";"( ( ACT0033 ) ) ";""
"20045";"ACT0045";"UROANALISE";"60";"";"( ( ACT0033 ) ) ";""
"20047";"ADM0011";"ADMINISTRACAO DE VENDAS";"60";"( ADM0308 ) ";"( ( ADM0001 ) ) ";""
"20048";"ADM0014";"PESQUISA MERCADOLOGICA";"60";"( ADM0309 ) ";"( ( ADM0001 ) ) ";""
"20049";"ADM0004";"ADMINISTRACAO DE MATERIAL";"75";"( ADM0505 ) OU ( ADM0402 ) ";"( ( ADM0001 ) ) ";""
"20050";"ADM0002";"TEORIA GERAL DA ADMINISTRACAO";"60";"( CSH0006 ) OU ( ADM0503 ) OU ( ADM0202 ) ";"";""
"20051";"ADM0032";"ADMINISTRACAO DE PESSOAL";"90";"( CSH0015 OU ( ADM0101 E ADM0102 ) ) ";"( ( ADM0001 ) ) ";""
"20052";"ADM0040";"ADMINISTRACAO DE MATERIAL";"60";"( CSH0022 OU ADM0402 OU ADM0406 ) ";"( ( ADM0001 ) ) ";""
"20053";"ADM0012";"ORGANIZACAO E METODOS";"60";"( CSH0038 ) OU ( ADM0504 ) OU ( ADM0401 ) OU ( ADM0033 ) ";"( ( ADM0001 ) ) ";""
"20054";"ADM0006";"ANALISE DE SISTEMA ADMINISTRATIVO";"60";"( CSH0042 ) OU ( ADM0304 ) ";"( ( ADM0001 ) ) ";""
"20055";"ADM0036";"MERCADOLOGIA I";"60";"( CSH0050 ) OU ( ADM0301 ) ";"( ( ADM0001 ) ) ";""
"20056";"ADM0045";"PLANEJAMENTO GOVERNAMENTAL";"60";"";"";""
"20057";"ADM0039";"CHEFIA E LIDERANCA";"60";"( CSH0076 ) ";"( ( ADM0001 ) ) ";""
"20058";"ADM0008";"ADMINISTRACAO DA PRODUCAO I";"60";"( CSH0109 ) OU ( CSH0016 ) OU ( ADM0424 ) ";"( ( ADM0001 ) ) ";""
"20059";"ADM0017";"PROCESSO DECISORIO";"60";"";"( ( ADM0001 ) ) ";""
"20060";"EDU0114";"ADMINISTRACAO DA ESCOLA DE 1* GRAU";"60";"";"( ( ADM0001 ) ) ";""
