"id_curriculo";"nome_matriz";"id_curso"
"91346571";"";"91346221"
"140096";"";"315761"
"102191533";"LICENCIATURA EM CIÊNCIAS SOCIAIS - NATAL - MT - LICENCIATURA";"102191189"
"91303732";"MATEMÁTICA - NATAL - M - LICENCIATURA";"85436489"
"109352453";"";"50903134"
"19074700";"";"19018260"
"140030";"";"315775"
"506167922";"QUÍMICA DO PETRÓLEO - NATAL - MT - BACHARELADO";"3156200"
"139946";"";"315773"
"139968";"";"315774"
"96069987";"";"96067701"
"14206731";"";"5876841"
"14206730";"";"315772"
"14329522";"";"315749"
"90609308";"";"90609271"
"14329525";"";"315750"
"115444268";"TURISMO - NATAL - T - BACHARELADO";"2000069"
"121495702";"JORNALISMO - NATAL - T";"118835329"
"115522686";"ENGENHARIA CIVIL - NATAL - MTN - FORMAÇÃO";"2000025"
"51333162";"LETRAS - NATAL - LINGUA PORTUGUESA - I - LICENCIATURA";"50852239"
"98659548";"";"98469607"
"104458277";"";"315767"
"104457512";"";"315766"
"103540503";"";"103197769"
"95998495";"";"95953799"
"104127227";"GESTÃO DE POLÍTICAS PÚBLICAS - NATAL - T - BACHARELADO";"10426760"
"96783901";"LETRAS - - NATAL - INGLES - T - LICENCIATURA";"84767886"
"25767750";"ENGENHARIA DE AQUICULTURA - NATAL - MT - BACHARELADO";"2576623"
"4500440";"CIÊNCIAS CONTÁBEIS PARA AS ORGANIZAÇÕES SOCIAIS E COOPERATIVAS - NATAL - I - BACHARELADO";"4492640"
"87279856";"";"315770"
"139985";"";"315777"
"14955040";"PEDAGOGIA - CAICÓ - M - LICENCIATURA";"2000064"
"16933010";"";"16932350"
"507135240";"LETRAS - LÍNGUA PORTUGUESA - CURRAIS NOVOS - TN - LICENCIATURA";"2000053"
"140101";"";"507420"
"89976258";"";"315733"
"110402692";"ENGENHARIA MECÂNICA - NATAL - N - FORMAÇÃO";"2000031"
"102390005";"PEDAGOGIA - NATAL - I - LICENCIATURA";"50799262"
"101091481";"";"101050284"
"102200805";"TECNOLOGIA DA INFORMAÇÃO - NATAL - MT - BACHARELADO";"92127264"
"118270825";"";"117229950"
"84744694";"";"84739860"
"10340341";"ADMINISTRAÇÃO - NATAL - N - BACHARELADO";"2000002"
"508197380";"ENGENHARIA DE PRODUÇÃO - NATAL - T - FORMAÇÃO";"2000029"
"97095666";"";"315764"
"109427699";"";"108847150"
"512462200";"GESTÃO EM SISTEMAS E SERVIÇOS DE SAÚDE - NATAL - N - BACHARELADO";"7252420"
"508208500";"";"50798281"
"89189948";"GEOGRAFIA - CAICÓ - MT - LICENCIATURA";"111635055"
"115305512";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810"
"100204476";"";"100181629"
"116364687";"";"315759"
"96085436";"HISTÓRIA - CAICÓ - N - LICENCIATURA";"111635060"
"508197381";"ENGENHARIA DE PRODUÇÃO - NATAL - N - FORMAÇÃO";"2000029"
"113772442";"";"113759737"
"109890751";"";"108847073"
"89306921";"GEOGRAFIA - CAICÓ - N - BACHARELADO";"2000044"
"506825900";"FÍSICA - NATAL - MT - BACHARELADO";"2000041"
"84763108";"";"84739891"
"89059693";"ENGENHARIA DE COMPUTAÇÃO - NATAL - MT - FORMAÇÃO";"2000026"
"101850027";"GEOFÍSICA - NATAL - MT - BACHARELADO";"2936390"
"119513031";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL - NATAL - N";"119512361"
"85370597";"PEDAGOGIA - NATAL - N - LICENCIATURA";"2000063"
"85347824";"PEDAGOGIA - NATAL - T - LICENCIATURA";"2000063"
"113806565";"";"113140463"
"114310304";"";"114310260"
"100399";"AQUICULTURA - NATAL - MT - BACHARELADO";"2000114"
"102507547";"";"98462514"
"21301690";"";"315753"
"115306301";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810"
"110813036";"";"110710810"
"87144758";"";"315771"
"91477917";"";"91477182"
"510231320";"ADMINISTRAÇÃO - NATAL - M - BACHARELADO";"2000002"
"88963809";"";"5036026"
"508409070";"CIÊNCIAS BIOLÓGICAS - NATAL - MT - LICENCIATURA";"111635035"
"107405556";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810"
"119512659";"LETRAS - LÍNGUA ESPANHOLA - NATAL - N";"118880834"
"115307035";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810"
"108233338";"FILOSOFIA - NATAL - N - LICENCIATURA";"111635047"
"115803290";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN - BACHARELADO";"10320810"
"115272412";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810"
"115273212";"CIÊNCIAS E TECNOLOGIA - NATAL - T - BACHARELADO";"10320810"
"101668492";"FISIOTERAPIA - SANTA CRUZ - MT - FORMAÇÃO";"10345860"
"116367936";"";"115789618"
"96083666";"HISTÓRIA - CAICÓ - MT - LICENCIATURA";"111635060"
"110402202";"ENGENHARIA MECÂNICA - NATAL - MT - FORMAÇÃO";"2000031"
"105519342";"CIÊNCIAS CONTÁBEIS - NATAL - N - BACHARELADO";"2000011"
"100758";"HISTÓRIA - NATAL - M - BACHARELADO";"2000046"
"88987695";"";"5036037"
"108818993";"MATEMÁTICA - NATAL - MT - LICENCIATURA";"111635066"
"505860900";"SERVIÇO SOCIAL - NATAL - M - BACHARELADO";"2000068"
"18999001";"QUÍMICA - NATAL - N - LICENCIATURA";"111635075"
"95129886";"";"5036044"
"115306807";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810"
"508409071";"CIÊNCIAS BIOLÓGICAS - NATAL - N - LICENCIATURA";"111635035"
"20506160";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"2000066"
"140087";"";"315735"
"140035";"";"315731"
"98189218";"TEATRO - NATAL - M - LICENCIATURA";"2000158"
"98189470";"TEATRO - NATAL - M - LICENCIATURA";"2000158"
"98189301";"TEATRO - NATAL - M - LICENCIATURA";"2000158"
"98189385";"TEATRO - NATAL - M - LICENCIATURA";"2000158"
"510231325";"FARMÁCIA - NATAL - MT - FORMAÇÃO";"2000039"
"115764587";"CIÊNCIAS E TECNOLOGIA - NATAL - N - BACHARELADO";"10320810"
"102187364";"METEOROLOGIA - NATAL - T - BACHARELADO";"101644626"
"98187355";"TEATRO - NATAL - M - LICENCIATURA";"2000158"
"119521179";"LETRAS - LÍNGUA PORTUGUESA - NATAL - N";"118881115"
"115274781";"ENGENHARIA DE MATERIAIS - NATAL - T - FORMAÇÃO";"2000027"
"90181406";"";"90156472"
"103639959";"DANÇA - NATAL - N - LICENCIATURA";"7264330"
"98463213";"TURISMO - CURRAIS NOVOS - MT - BACHARELADO";"2000071"
"98776589";"FISIOTERAPIA - NATAL - MT - FORMAÇÃO";"2000042"
"9463980";"ENFERMAGEM - NATAL - MT - FORMAÇÃO";"2000023"
"86369001";"";"315741"
"115802434";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"10320810"
"10340342";"FARMÁCIA - NATAL - N - FORMAÇÃO";"2000039"
"89352121";"ESTATÍSTICA - NATAL - M - FORMAÇÃO";"2000034"
"139987";"";"315759"
"105512207";"CIÊNCIAS CONTÁBEIS - NATAL - M - BACHARELADO";"2000011"
"98275660";"GEOGRAFIA - NATAL - M - BACHARELADO";"2000043"
"9510501";"";"9513330"
"20503690";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"2000066"
"508377771";"ENGENHARIA TÊXTIL - NATAL - TN - FORMAÇÃO";"2000033"
"506167921";"QUÍMICA - NATAL - M - BACHARELADO";"2000067"
"119513876";"COMUNICAÇÃO SOCIAL - AUDIOVISUAL - NATAL - T";"119512361"
"21631770";"";"2163123"
"89572913";"";"5036042"
"140037";"";"315728"
"90456597";"";"5036046"
"90518856";"";"5036028"
"18068142";"";"17565631"
"121562069";"";"19106930"
"509141880";"HISTÓRIA - - NATAL - I - LICENCIATURA";"50913238"
"507863460";"EDUCAÇÃO FÍSICA - NATAL - MT - LICENCIATURA";"111635041"
"101669220";"TECNOLOGIA DA INFORMAÇÃO - NATAL - N - BACHARELADO";"92127264"
"9510504";"";"9300592"
"510230600";"BIBLIOTECONOMIA - NATAL - T - BACHARELADO";"2000006"
"114793595";"ECOLOGIA - NATAL - MT - BACHARELADO";"2000121"
"114795355";"ECOLOGIA - NATAL - N - BACHARELADO";"2000121"
"140098";"";"315763"
"105572856";"";"104910434"
"24997720";"CIÊNCIAS ECONÔMICAS - NATAL - N - BACHARELADO";"2000014"
"116379316";"";"115845494"
"115845500";"";"115845492"
"108222242";"FILOSOFIA - NATAL - N - BACHARELADO";"2000040"
"506651401";"FÍSICA - NATAL - N - LICENCIATURA";"111635050"
"505612070";"DIREITO - NATAL - M - BACHARELADO";"2000018"
"24798170";"CIÊNCIAS ECONÔMICAS - NATAL - M - BACHARELADO";"2000014"
"98085930";"CIÊNCIAS SOCIAIS - NATAL - N - LICENCIATURA";"111635038"
"119515799";"LETRAS - FRANCÊS - NATAL - M";"118836561"
"9051720";"PSICOLOGIA - NATAL - MT - FORMAÇÃO";"2000066"
"140071";"";"315788"
"98708475";"HISTÓRIA - NATAL - M - LICENCIATURA";"111635057"
"98743742";"MÚSICA - NATAL - N - LICENCIATURA";"111635069"
"121601534";"";"121507754"
"90518958";"";"5036028"
"90529441";"";"5036028"
"90529452";"";"5036028"
"90529534";"";"5036028"
"91085470";"";"88337492"
"91286182";"";"5036034"
"98709068";"HISTÓRIA - NATAL - N - LICENCIATURA";"111635057"
"7046170";"DESIGN - NATAL - MT - BACHARELADO";"6992521"
"118229733";"";"5036032"
"116734737";"";"116724070"
"91498572";"";"5036029"
"91498785";"";"5036029"
"91500065";"";"5036029"
"91500211";"";"5036029"
"93459870";"";"93262776"
"95692564";"";"5036042"
"98231742";"";"5036045"
"98231785";"";"5036045"
"98231790";"";"5036045"
"98273998";"";"5036046"
"103292410";"";"93262777"
"105864929";"";"5036032"
"103558719";"";"5036040"
"91849384";"";"5036033"
"106232662";"";"5036045"
"106302120";"";"5036027"
"109727260";"";"5036038"
"116503193";"";"5036023"
"116879919";"";"116724075"
"116948928";"";"116724074"
"117108458";"";"116724071"
"117116286";"";"116724072"
"118156955";"";"5036028"
"118835536";"COMUNICAÇÃO SOCIAL- PUBLICIDADE E PROPAGANDA - NATAL - N";"118834827"
"104836701";"MEDICINA - CAICÓ - MTN - FORMAÇÃO";"104831949"
"91635229";"";"5036038"
"100669";"COMUNICAÇÃO SOCIAL - NATAL - RADIALISMO - N - BACHARELADO";"2000016"
"100762";"COMUNICAÇÃO SOCIAL - NATAL - RADIALISMO - T - BACHARELADO";"2000016"
"100668";"COMUNICAÇÃO SOCIAL - NATAL - JORNALISMO - N - BACHARELADO";"2000016"
"100761";"COMUNICAÇÃO SOCIAL - NATAL - JORNALISMO - T - BACHARELADO";"2000016"
"118737828";"";"5036043"
"122903747";"";"116724075"
"122908758";"";"5036021"
"509953430";"";"5036022"
"122949576";"";"116724074"
"118738304";"";"5036041"
"118568790";"";"5048042"
"122877028";"";"5036025"
